Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Untitled,Unknown photographer,8595,,(),(0),(0),(),c. 1940,Gelatin silver print,"3 × 2 1/16"" (7.6 × 5.2 cm)",Gift of Peter J. Cohen,680.2010,Photograph,Photography,2010-10-07,Y,141043,http://www.moma.org/collection/works/141043,http://www.moma.org/media/W1siZiIsIjMyMzk0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8b843b264c60c9b9,,,,7.6,,,5.2,,
The Murder from Nigger Heaven (Illustration from Carl van Vechten's novel),E. McKnight Kauffer,3020,"(American, 1890–1954)",(American),(1890),(1954),(Male),1931,Gouache and pencil on paper,"22 x 15 1/4"" (55.9 x 38.7 cm)",Gift of Carl van Vechten,738.1978.1,Drawing,Drawings & Prints,1978-10-27,Y,85901,http://www.moma.org/collection/works/85901,http://www.moma.org/media/W1siZiIsIjMzMTU5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5f7eb8df39145ecc,,,,55.9,,,38.7,,
Tumblers (model i-104),Timo Sarpaneva,5168,"(Finnish, 1926–2006)",(Finnish),(1926),(2006),(Male),1956,Blown glass,"2 1/2 x 2 3/4"" (6.4 x 7 cm)",Purchase,743.1983.1-6,Design,Architecture & Design,1983-11-30,Y,4438,http://www.moma.org/collection/works/4438,http://www.moma.org/media/W1siZiIsIjU5MjQwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=3eb3e7edf46a90e6,,,6.985,6.4,,,,,
Bukkyo Dendo Kyokai,Tadanori Yokoo,6502,"(Japanese, born 1936)",(Japanese),(1936),(0),(Male),Unknown,Offset lithograph,"43 1/8 x 31 1/8"" (109.6 x 79 cm)",Gift of the designer,840.1983,Design,Architecture & Design,1983-11-30,Y,8248,http://www.moma.org/collection/works/8248,,,,,109.6,,,79.0,,
"Untitled, (text from United Nations report, page 29-30)",Gilles Peress,4554,"(French, born 1946)",(French),(1946),(0),(Male),1994,Gelatin silver print,"36 × 55"" (91.4 × 139.7 cm)",Gift of Susan and Peter MacGill,45.2007.21,Photograph,Photography,2007-02-15,N,105846,,,,,,91.4402,,,139.7003,,
Untitled from Women are Beautiful,Garry Winogrand,6399,"(American, 1928–1984)",(American),(1928),(1984),(Male),1969,Gelatin silver print,"8 5/8 × 13"" (21.9 × 33.1 cm)",Gift of Mitchell Deutsch,357.1990,Photograph,Photography,1990-06-07,N,51681,,,,,,21.9,,,33.1,,
18 Janv 1984 from Paysages,Gérard Duchène,1636,"(French, born 1944)",(French),(1944),(0),(Male),1984,One from a portfolio of ten relief prints,"composition and sheet: 15 5/8 x 11 5/8"" (39.7 x 29.6 cm)",The Philip and Lynn Straus Foundation Fund and Purchase,298.1989.8,Print,Drawings & Prints,1989-10-12,Y,135032,http://www.moma.org/collection/works/135032,http://www.moma.org/media/W1siZiIsIjE5MDA2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8b05d9a2d10f9b10,,,,39.7,,,29.6,,
Exterior section and plan,Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(Male),c. 1945-50,Pencil on tracing paper,"21 x 31 1/4"" (53.3 x 79.4 cm)","Mies van der Rohe Archive, gift of the architect
",MR4511.86,Mies van der Rohe Archive,Architecture & Design,,N,87471,,,,,,53.3401,,,79.3752,,
Mountain 2003 (Berg 2003) from Architecture Models 1980-2006 (Architektur Modelle 1980-2006),Thomas Schütte,5281,"(German, born 1954)",(German),(1954),(0),(Male),2006,One from a portfolio of 27 etching and nyloprints with letterpress additions,"plate: 14 5/16 x 12 5/16"" (36.3 x 31.2 cm); sheet: 30 1/16 x 21"" (76.4 x 53.3 cm)",General Print Fund,301.2011.21,Print,Drawings & Prints,2011-05-16,Y,147929,http://www.moma.org/collection/works/147929,http://www.moma.org/media/W1siZiIsIjIzNTAwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=117a5257f62d8b61,,,,36.3,,,31.2,,
Untitled,Felix Gonzalez-Torres,2233,"(American, born Cuba. 1957–1996)",(American),(1957),(1996),(Male),1992,Leather-bound embossed album with 24 leaves,"14 × 14 × 2"" (35.6 × 35.6 × 5.1 cm)",The Abramson Collection. Gift of Stephen and Sandra Abramson,448.2015.14,Photograph,Photography,2015-05-28,N,194497,,,,5.08001016,,35.5600711201,,,35.5600711201,,
"Adventures of an *, Storyboard","John Hubley, Faith Hubley","33845, 32272","(American, 1914–1977) (American, 1924–2001)",(American) (American),(1914) (1924),(1977) (2001),(Male) (Female),1957,,13 7/8 x 6,"Hubley Collection, Deposit with Department of Film. Special Collections, MoMA.",886.1998,Work on Paper,Film,,N,111910,,,,,,35.2425704851,,,15.2400304801,,
"Court House Project, Plan",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(Male),c. 1935,Pencil on tracing paper,"16 1/2 x 11 3/4"" (41.9 x 29.8 cm)","Mies van der Rohe Archive, gift of the architect
",MR43.203,Mies van der Rohe Archive,Architecture & Design,,Y,170160,http://www.moma.org/collection/works/170160,http://www.moma.org/media/W1siZiIsIjI3MjA2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e8ef08063324dffc,,,,41.9101,,,29.8451,,
"VICTORIA, QUEEN OF ENGLAND (1819-1901)",André-Adolphe-Eugène Disdéri,1552,"(French, 1819–1889)",(French),(1819),(1889),(Male),1868,Albumen silver print,"3 1/2 × 2 1/4"" (9 × 5.7 cm)",,178.1982.44,Photograph,Photography,1982-05-13,N,47569,,,,,,9.0,,,5.7,,
Self-Portrait,Théo van Rysselberghe,5099,"(Belgian, 1862–1926)",(Belgian),(1862),(1926),(Male),(1888-89),Pastel and crayon on paper,"13 3/8 x 10 1/8"" (34 x 25.7 cm)",Gift of Mr. and Mrs. Hugo Perls,243.1956,Drawing,Drawings & Prints,1956-05-08,Y,35486,http://www.moma.org/collection/works/35486,http://www.moma.org/media/W1siZiIsIjc2MjYzIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=aa5385d28a7242bb,,,,34.0,,,25.7,,
Dying Poplars and Live Branch - Lake George,Alfred Stieglitz,5664,"(American, 1864–1946)",(American),(1864),(1946),(Male),1932,Gelatin silver print,"9 5/16 × 7 3/8"" (23.7 × 18.8 cm)
",Alfred Stieglitz Collection. Gift of Georgia O'Keeffe,66.1950,Photograph,Photography,1950-01-06,N,45416,,,,,,23.7,,,18.8,,
Untitled,Unknown photographer,8595,,(),(0),(0),(),c. 1938–60,Gelatin silver print,"Approx. 2 × 2"" (5.1 × 5.1 cm)",Gift of Peter J. Cohen,767.2017.235,Photograph,Photography,2017-10-26,Y,277234,http://www.moma.org/collection/works/277234,http://www.moma.org/media/W1siZiIsIjQzNDcwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4dd6815c7a8fd465,,,,5.08001016,,,5.08001016,,
Louis Valtat from Twelve Original Lithographs by Pierre-Auguste Renoir (Douze lithographies originales de Pierre-Auguste Renoir),Pierre-Auguste Renoir,4869,"(French, 1841–1919)",(French),(1841),(1919),(Male),"c. 1904, published 1919",One from a portfolio of twelve lithographs,"composition (irreg.): 11 3/4 x 9 3/8"" (29.8 x 23.8 cm); sheet: 13 × 9 13/16"" (33 × 25 cm)",The Louis E. Stern Collection,1032.1964.2,Print,Drawings & Prints,1964-10-06,Y,30170,http://www.moma.org/collection/works/30170,http://www.moma.org/media/W1siZiIsIjMzNTc0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1f6c9c8f409e8818,,,,29.8,,,23.8,,
Plate (page 130) from POÈSIES ANTILLAISES,Henri Matisse,3832,"(French, 1869–1954)",(French),(1869),(1954),(Male),1946-1972,,"irreg. composition  14 3/4 x 9 3/4"" (37.4 x 24.8 cm)",Acquired by exchange,31.1973.100,Illustrated Book,Drawings & Prints,1973-01-04,N,10218,,,,,,37.4,,,24.8,,
Untitled from Vanish,Sol LeWitt,3528,"(American, 1928–2007)",(American),(1928),(2007),(Male),1994,One from a series of forty screenprints,"composition: 17 1/4 × 12 1/2"" (43.8 × 31.8 cm); sheet: 18 1/16 × 13 3/8"" (45.8 × 33.9 cm)",Gift of the artist,38.1996.23,Print,Drawings & Prints,1996-03-12,Y,143711,http://www.moma.org/collection/works/143711,http://www.moma.org/media/W1siZiIsIjIwNTE3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d8718019d77d0c1f,,,,43.8,,,31.8,,
Tuileries statue,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(Male),1911-12,Albumen silver print,"Approx. 8 11/16 × 6 9/16"" (22 × 16.7 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.2751,Photograph,Photography,1968-03-06,Y,40754,http://www.moma.org/collection/works/40754,http://www.moma.org/media/W1siZiIsIjMwMjc0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a1eaa21f84d4b665,,,,,,,,,
Tanaqvil Flatware,Magnus Stephensen,5646,"(Danish, 1903–1984)",(Danish),(1903),(1984),(Male),1955,Stainless steel,".10 (serving fork): l. 9 3/4 x w. 2 5/8"" (l. 24.7 x w. 6.7 cm)
",Gift of the manufacturer,2293.2001.10,Design,Architecture & Design,2001-09-24,Y,91816,http://www.moma.org/collection/works/91816,http://www.moma.org/media/W1siZiIsIjIzMDI1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1ef42de47aa2e7fb,,,,,24.7,,6.6675,,
Ale Cans,Jasper Johns,2923,"(American, born 1930)",(American),(1930),(0),(Male),1964,Lithograph with crayon additions,"composition: 14 1/16 × 11"" (35.7 × 27.9 cm); sheet (irreg.): 26 9/16 × 20 5/8"" (67.5 × 52.4 cm)",Gift of the artist in honor of Tatyana Grosman,304.1985,Print,Drawings & Prints,1985-10-07,Y,66511,http://www.moma.org/collection/works/66511,http://www.moma.org/media/W1siZiIsIjIyMTM5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=11e98c9d8ab239da,,,,35.7,,,27.9,,
"Untitled, plate 1 of 14, from the portfolio, Autobiographical Series",Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(Female),1994,"Drypoint and aquatint, with hand additions","plate: 13 13/16 x 10"" (35.1 x 25.4 cm); sheet: 22 7/16 x 17 15/16"" (57 x 45.5 cm)",Gift of the artist,618.2008,Print,Drawings & Prints,2008-06-18,Y,59459,http://www.moma.org/collection/works/59459,http://www.moma.org/media/W1siZiIsIjE1OTUwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d7ca5d4a9d5ddf07,,,,35.1,,,25.4,,
Double page plate (folios 18 verso and 19) from SKETCHBOOK 1982,Roger Brown,811,"(American, 1941–1997)",(American),(1941),(1997),(Male),1983,"Lithograph, printed in black on white, smooth, wove Arches 88 paper and photolithographic reproduction of newspaper advertisement, printed in black on light gray, smooth, wove paper taped to white, smooth, wove Arches 88 paper","irreg. composition  10 1/8 x 16 7/8"" (25 x 42.8 cm)",John B. Turner Fund,254.1984.17,Illustrated Book,Drawings & Prints,1984-10-02,N,14289,,,,,,25.0,,,42.8,,
Attorney,August Sander,5145,"(German, 1876–1964)",(German),(1876),(1964),(Male),1931,Gelatin silver print,"10 3/16 × 7 3/8"" (25.8 × 18.7 cm)",Acquired through the generosity of the family of August Sander,472.2015.301,Photograph,Photography,2015-05-28,Y,193933,http://www.moma.org/collection/works/193933,http://www.moma.org/media/W1siZiIsIjMyOTE0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=33f6c2821fba55f4,,,,,,,,,
Untitled,Richard Deacon,1456,"(British, born 1949)",(British),(1949),(0),(Male),1990,Pencil on paper,"29 3/4 x 44"" (75.5 x 111.7 cm)",Gift of Barbara G. Pine,493.1992,Drawing,Drawings & Prints,1992-11-05,Y,37150,http://www.moma.org/collection/works/37150,http://www.moma.org/media/W1siZiIsIjMyMjc0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4643233a63ab3a48,,,,75.6,,,111.8,,
Low Tide Wandering No. 45 (Wattwanderung No. 45) from Low Tide Wandering (Wattwanderung),Thomas Schütte,5281,"(German, born 1954)",(German),(1954),(0),(Male),2001,One from a portfolio of 139 etchings,"plate: 5 5/16 x 7 5/16"" (13.5 x 18.5 cm); sheet: 17 5/8 x 12 11/16"" (44.7 x 32.2 cm)",Sue and Edgar Wachenheim III Fund and Gift of the Contemporary Arts Council of The Museum of Modern Art,300.2011.45,Print,Drawings & Prints,2011-05-16,Y,148395,http://www.moma.org/collection/works/148395,http://www.moma.org/media/W1siZiIsIjIxOTk4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=303ba9508e8bd672,,,,13.5,,,18.5,,
Title page from LA VILLE,Frans Masereel,3814,"(Belgian, 1889–1972)",(Belgian),(1889),(1972),(Male),1925,,"irreg. composition  1 3/8 x 2 9/16"" (3.5 x 6.5 cm)",Purchase,587.1949.1,Illustrated Book,Drawings & Prints,1949-09-29,N,19106,,,,,,3.5,,,6.5,,
URBINO SERIES NO. 2,Deli Sacilotto,5107,(Canadian),(Canadian),(0),(0),(Male),(1966),"Lithograph, printed in color","Sheet 27 11/16 x 20"" (70.3 x 50.8 cm)Comp.  24 11/16 x 17"" (62.7 x 43.2 cm)","Gift of Mrs. Samuel Bronfman, Mrs. John David Eaton, and Mr. Samuel J. Zacks (through the International Council)",2193.1967,Print,Drawings & Prints,1967-10-18,N,78087,,,,,,62.7,,,43.2,,
Alphaville,Jean-Luc Godard,32250,"(French, born 1930)",(French),(1930),(0),(Male),1965,"Italian original 4-fogli, fabric","78 x 55"" (198.1 x 139.7 cm)",Purchase from Fabiano Canosa,F2013.237,Work on Paper,Film,2013-10-22,N,175016,,,,0.0,,198.1203962408,,,139.7002794006,,
"Farmer's Kitchen, Hale County, Alabama",Walker Evans,1777,"(American, 1903–1975)",(American),(1903),(1975),(Male),1936,"Gelatin silver print, printed c. 1970 by James Dow","9 3/8 × 6 3/4"" (23.9 × 17.2 cm)",Stephen R. Currier Memorial Fund,62.1971,Photograph,Photography,1971-03-02,N,45302,,,,,,23.9,,,17.2,,
"Variant of Two Women (1st supplementary suite, plate 13) from the illustrated book La Chèvre-Feuille",Pablo Picasso,4609,"(Spanish, 1881–1973)",(Spanish),(1881),(1973),(Male),1943,"Etching over relief halftone reproduction after drawing, relief printed","composition (irreg.): 10 5/8 x 8 3/8"" (27 x 21.3 cm); page: 11 x 8 7/8"" (28 x 22.5 cm)",The Louis E. Stern Collection,979.1964.B13,Illustrated Book,Drawings & Prints,1964-10-06,Y,29495,http://www.moma.org/collection/works/29495,http://www.moma.org/media/W1siZiIsIjE3MzkxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=266061036cce33bf,,,,27.0,,,21.3,,
Incandescent Bulb (model 85),Tapio Wirkkala,6409,"(Finnish, 1915–1985)",(Finnish),(1915),(1985),(Male),1959,Glass,"8 1/4 x 3 11/16"" (21 x 9.4 cm)",Gift of the manufacturer,257.1962,Design,Architecture & Design,1962-11-07,Y,3095,http://www.moma.org/collection/works/3095,http://www.moma.org/media/W1siZiIsIjIxMDkwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=266263d4dddf3f72,,,9.3663,21.0,,,,,
"Fair Booth (La Baraque) (headpiece, page 41) from Petites scènes familières",Pierre Bonnard,665,"(French, 1867–1947)",(French),(1867),(1947),(Male),"1893–94, published 1895",One from a book of musical scores with twenty lithographs (including wrapper front),"composition (irreg.): 4 3/16 x 8 9/16"" (10.6 x 21.7 cm); page: 13 3/4 × 10 5/8"" (35 × 27 cm)",Gift of Abby Aldrich Rockefeller,278.1948.17,Illustrated Book,Drawings & Prints,1948-10-06,Y,14458,http://www.moma.org/collection/works/14458,http://www.moma.org/media/W1siZiIsIjM0NjQ2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6eed5cd7b5acae84,,,,10.6,,,21.7,,
Roget's Thesaurus Location Piece,Vito Acconci,53,"(American, 1940–2017)",(American),(1940),(2017),(Male),c. 1969,"629 typewritten sheets, contained in cloth-bound slipcase","each: 11 × 8 1/2"" (27.9 × 21.6 cm)","Gift of the Gilbert B. and Lila Silverman Instruction Drawing Collection, Detroit",1362.2018.1-631,Drawing,Drawings & Prints,2018-11-05,N,288805,,,,,,27.9400558801,,,21.5900431801,,
Caliban,Jacques Villon,6165,"(French, 1875–1963)",(French),(1875),(1963),(Male),1941,Drypoint,"plate: 8 1/16 x 6 13/16"" (20.4 x 17.3 cm); sheet: 14 13/16 x 10 7/8"" (37.6 x 27.7 cm)",Purchase,170.1949,Print,Drawings & Prints,1949-03-24,Y,63517,http://www.moma.org/collection/works/63517,http://www.moma.org/media/W1siZiIsIjE3NzU3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f31690670ed24a5f,,,,20.4,,,17.3,,
Keyboard Dances,Philip Corner,36944,"(American, born 1933)",(American),(1933),(0),(Male),1963,Ink on paper,"sheet: 16 1/2 × 2 1/4"" (41.9 × 5.7 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,2132.2008.14,Drawing,Drawings & Prints,2008-10-08,N,140404,,,,,,41.9100838202,,,5.71501143,,
Make a Wish,Robert H. McNeill,45744,"(American, 1917–2005)",(American),(1917),(2005),(Male),1937,Gelatin silver print,"6 3/4 × 8 11/16"" (17.1 × 22 cm)
",Acquired through the generosity of The Friends of Education of The Museum of Modern Art and Committee on Photography Fund,915.2014,Photograph,Photography,2014-10-09,Y,186065,http://www.moma.org/collection/works/186065,http://www.moma.org/media/W1siZiIsIjMwOTQ1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=06e6602c34eedb1f,,,,17.1,,,22.0,,
"Market Street, San Francisco",Willard Worden,6450,"(American, 1873–1946)",(American),(1873),(1946),(Male),1906,Gelatin silver print,"6 3/8 × 9 1/2"" (16.3 × 24.3 cm)",The Family of Man Fund,110.1986,Photograph,Photography,1986-01-15,Y,46415,http://www.moma.org/collection/works/46415,http://www.moma.org/media/W1siZiIsIjIwODIyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2c3a4fc2484d6811,,,,16.3,,,24.3,,
Added plate,Aristide Maillol,3697,"(French, 1861–1944)",(French),(1861),(1944),(Male),1927-1940,"Etching, printed in black","irreg. composition  4 3/8 x 2 15/16"" (11.2 x 7.5 cm)",The Louis E. Stern Collection,905.1964.45,Illustrated Book,Drawings & Prints,1964-10-06,N,27869,,,,,,11.2,,,7.5,,
International Worker's Day from Occuprint Portfolio,Jesus Barraza,41451,(American),(),(0),(0),(Male),2012,One from a portfolio of thirty-one screenprints,"composition: 15 3/4 x 9 15/16"" (40 x 25.2 cm); sheet: 18 x 11 15/16"" (45.7 x 30.4 cm)",Acquired through the generosity of Timothy Peterson and Richard Gerrig,87.2013.3,Print,Drawings & Prints,2013-02-07,Y,168831,http://www.moma.org/collection/works/168831,http://www.moma.org/media/W1siZiIsIjI2NzQ5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a2dd11589168c106,,,,40.0,,,25.2,,
Self Portrait,Ernesto Fontecilla,1933,"(Chilean, born 1938)",(Chilean),(1938),(0),(Male),1969,Etching and aquatint,"plate (irreg.): 30 1/8 x 21 3/4"" (76.5 x 55.3 cm); sheet (irreg.): 30 1/8 x 21 3/4"" (76.5 x 55.3 cm)",Gift of Elaine L. Johnson,107.1970,Print,Drawings & Prints,1970-03-05,Y,61895,http://www.moma.org/collection/works/61895,,,,,76.5,,,55.3,,
Untitled (Copper Plate for We Love You),Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(Female),1992,"Copper plate, with drypoint","plate: 12 15/16 × 19 15/16"" (32.8 × 50.6 cm)",Gift of the artist,540.1994.1-2,Print,Drawings & Prints,1994-11-08,Y,70825,http://www.moma.org/collection/works/70825,http://www.moma.org/media/W1siZiIsIjE2MzIwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f7b40c5f3aefaac4,,,,32.8,,,50.6,,
"Thief Crucified (plate, folio 2) from Some Engravings",Leonard Baskin,369,"(American, 1922–2000)",(American),(1922),(2000),(Male),1950-1952,Wood engraving,"composition (irreg.): 2 1/16 x 1 9/16"" (5.2 x 4cm); page: 7 7/8 × 7 1/16"" (20 × 18 cm)",Given anonymously,32.1953.1,Illustrated Book,Drawings & Prints,1953-01-30,N,10365,,,,,,5.2,,,4.0,,
House of Culture (Dom kul’tury),Elena Semenova,67661,"(Russian, 1898–1986)",(Russian),(1898),(1986),(Female),c. 1926–28,"Ink, pencil, and gouache on paper mounted on board
","8 3/4 × 8 1/8"" (22.3 × 20.7 cm)","The Merrill C. Berman Collection. Acquired through the generosity of Alice and Tom Tisch, Jo Carole and Ronald S. Lauder, Sue and Edgar Wachenheim III, David Booth, Marlene Hess and James D. Zirin, Marie-Josée and Henry R. Kravis, Jack Shear, the Patricia Bonfield Endowed Acquisition Fund for the Design Collection, Daniel and Jane Och, The Orentreich Family Foundation, Emily Rauh Pulitzer, The Modern Women's Fund; and by exchange: Gift of Jean Dubuffet in honor of Mr. and Mrs. Ralph Colin, The Judith Rothschild Foundation Contemporary Drawings Collection, and the Richard S. Zeisler Bequest",501.2018,Drawing,Drawings & Prints,2018-03-21,N,280304,,,,,,22.3,,,20.7,,
HÔTEL DU PRÉSIDENT DURET. RUE SAINT DOMINIQUE 16,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(Male),1902-03,Albumen silver print,"Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.4524,Photograph,Photography,1968-03-06,N,42795,,,,,,,,,,,
"Berryessa Valley, Napa County, California",Dorothea Lange,3373,"(American, 1895–1965)",(American),(1895),(1965),(Female),1956,"Gelatin silver print, printed 1965","11 1/8 × 11 1/2"" (28.2 × 29.2 cm)",Purchase,512.1995,Photograph,Photography,1995-06-15,Y,54578,http://www.moma.org/collection/works/54578,http://www.moma.org/media/W1siZiIsIjI1ODcwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=171b7bb1c9d58008,,,,28.2,,,29.2,,
Chelovek. Veshch',Unknown Artist,23390,(Nationality unknown),(Nationality unknown),(0),(0),(),1918,,"Page: 7 x 5 1/4"" (17.8 x 13.4 cm)",Gift of The Judith Rothschild Foundation (Boris Kerdimun Archive),1017.2001,Illustrated Book,Drawings & Prints,2001-01-24,N,29999,,,,,,17.8,,,13.4,,
Razocharovanie,Georgii Echeistov,23633,"(Russian, 1897–1946)",(Russian),(1897),(1946),(Male),1922,,"Page: 6 13/16 x 5 3/16"" (17.3 x 13.1 cm)",Gift of The Judith Rothschild Foundation (Boris Kerdimun Archive),577.2001,Illustrated Book,Drawings & Prints,2001-01-24,N,18831,,,,,,17.3,,,13.1,,
